,cost,storage_available,k,optimal_decision
125,47.37535512303657,"[inf, 3, 1]",7,"(1, 2)"
126,45.4490152033449,"[inf, 3, 2]",7,"(2, 1)"
127,35.23062671546501,"[inf, 3, 3]",7,"(2, 2)"
128,426.3830740465232,"[inf, 0, 0]",8,"(0, 0)"
129,226.45163008906812,"[inf, 0, 1]",8,"(0, 2)"
130,224.45440757305326,"[inf, 0, 2]",8,"(2, 0)"
131,24.51409640026154,"[inf, 0, 3]",8,"(2, 2)"
132,236.53214190085725,"[inf, 1, 0]",8,"(0, 1)"
133,226.41004714726364,"[inf, 1, 1]",8,"(0, 2)"
134,34.61646521412336,"[inf, 1, 2]",8,"(2, 1)"
135,24.485667881269986,"[inf, 1, 3]",8,"(2, 2)"
136,236.32724423750943,"[inf, 2, 0]",8,"(1, 0)"
137,36.408712543800334,"[inf, 2, 1]",8,"(1, 2)"
138,34.58039220871945,"[inf, 2, 2]",8,"(2, 1)"
139,24.456323188578384,"[inf, 2, 3]",8,"(2, 2)"
140,46.47326696706156,"[inf, 3, 0]",8,"(1, 1)"
141,36.36449040341968,"[inf, 3, 1]",8,"(1, 2)"
142,34.543229781143374,"[inf, 3, 2]",8,"(2, 1)"
143,24.42609281555767,"[inf, 3, 3]",8,"(2, 2)"
144,400.40994622355004,"[inf, 0, 0]",9,"(0, 0)"
145,202.1064537156022,"[inf, 0, 1]",9,"(0, 2)"
146,201.78931007445635,"[inf, 0, 2]",9,"(2, 0)"
147,3.485817566508498,"[inf, 0, 3]",9,"(2, 2)"
148,210.60694997074523,"[inf, 1, 0]",9,"(0, 1)"
149,202.1064537156022,"[inf, 1, 1]",9,"(0, 2)"
150,11.986313821651521,"[inf, 1, 2]",9,"(2, 1)"
151,3.485817566508498,"[inf, 1, 3]",9,"(2, 2)"
152,210.45153645329324,"[inf, 2, 0]",9,"(1, 0)"
153,12.148043945345398,"[inf, 2, 1]",9,"(1, 2)"
154,11.986313821651521,"[inf, 2, 2]",9,"(2, 1)"
155,3.485817566508498,"[inf, 2, 3]",9,"(2, 2)"
156,20.64854020048842,"[inf, 3, 0]",9,"(1, 1)"
157,12.148043945345398,"[inf, 3, 1]",9,"(1, 2)"
158,11.986313821651521,"[inf, 3, 2]",9,"(2, 1)"
159,3.485817566508498,"[inf, 3, 3]",9,"(2, 2)"
160,0,"[inf, 0, 0]",10,"(0, 0)"
161,0,"[inf, 0, 1]",10,"(0, 0)"
162,0,"[inf, 0, 2]",10,"(0, 0)"
163,0,"[inf, 0, 3]",10,"(0, 0)"
164,0,"[inf, 1, 0]",10,"(0, 1)"
165,0,"[inf, 1, 1]",10,"(0, 1)"
166,0,"[inf, 1, 2]",10,"(0, 1)"
167,0,"[inf, 1, 3]",10,"(0, 1)"
168,0,"[inf, 2, 0]",10,"(0, 1)"
169,0,"[inf, 2, 1]",10,"(0, 1)"
170,0,"[inf, 2, 2]",10,"(0, 1)"
171,0,"[inf, 2, 3]",10,"(0, 1)"
172,0,"[inf, 3, 0]",10,"(0, 1)"
173,0,"[inf, 3, 1]",10,"(0, 1)"
174,0,"[inf, 3, 2]",10,"(0, 1)"
175,0,"[inf, 3, 3]",10,"(0, 1)"
